ID_OR_NAME | TYPE | LABEL | TAB
saleBldgYearRenovated | number | Year Renovated | Modal
saleBldgTotalFloors | number | [Unknown] | Modal
saleBldgTotalUnits | number | [Unknown] | Modal
saleBldgResidentialUnits | number | Residential Units | Modal
saleBldgCommercialUnits | number | Commercial Units | Modal
saleBldgParkingSpaces | number | Total Parking Spaces | Modal
saleBldgLandmark | checkbox | [Unknown] | Modal
saleBldgHistoric | checkbox | [Unknown] | Modal
saleBldgLEED | checkbox | [Unknown] | Modal
saleBldgNewConstruction | checkbox | [Unknown] | Modal
saleBldgConversion | checkbox | [Unknown] | Modal
saleBldgSponsorUnits | checkbox | [Unknown] | Modal
saleBldgDoorman | checkbox | [Unknown] | Modal
saleBldgFullTimeDoorman | checkbox | [Unknown] | Modal
saleBldgVirtualDoorman | checkbox | [Unknown] | Modal
saleBldgConcierge | checkbox | [Unknown] | Modal
saleBldgElevator | checkbox | [Unknown] | Modal
saleBldgLaundry | checkbox | [Unknown] | Modal
saleBldgGym | checkbox | [Unknown] | Modal
saleBldgPool | checkbox | [Unknown] | Modal
saleBldgRoofDeck | checkbox | [Unknown] | Modal
saleBldgCourtyard | checkbox | [Unknown] | Modal
saleBldgPlayroom | checkbox | [Unknown] | Modal
saleBldgLounge | checkbox | [Unknown] | Modal
saleBldgBusinessCenter | checkbox | [Unknown] | Modal
saleBldgConferenceRoom | checkbox | [Unknown] | Modal
saleBldgBikeRoom | checkbox | [Unknown] | Modal
saleBldgStorage | checkbox | [Unknown] | Modal
saleBldgParking | checkbox | [Unknown] | Modal
saleBldgValet | checkbox | [Unknown] | Modal
saleBldgPackageRoom | checkbox | [Unknown] | Modal
saleBldgColdStorage | checkbox | [Unknown] | Modal
saleBldgLiveInSuper | checkbox | [Unknown] | Modal
saleBldgOnSiteManager | checkbox | [Unknown] | Modal
saleBldgWheelchairAccess | checkbox | [Unknown] | Modal
saleBldgSpa | checkbox | [Unknown] | Modal
saleBldgHeatType | select | Heat Type | Modal
saleBldgFuelType | select | Fuel Type | Modal
saleBldgNumElevators | number | Number of Elevators | Modal
saleBldgAssociationName | text | Association/Corp Name | Modal
saleBldgTotalShares | number | Total Shares (Co-op) | Modal
saleBldgUnderlyingMortgage | text | Underlying Mortgage | Modal
saleBldgCapitalReserves | text | Capital Reserves | Modal
saleBldgCapitalReservesYN | checkbox | [Unknown] | Modal
saleBldgTaxBlock | text | Tax Block | Modal
saleBldgTaxLot | text | Tax Lot | Modal
saleBldgAnnualTaxes | text | Annual RE Taxes | Modal
saleBldgTaxAbatementYN | select | Has Tax Abatement | Modal
saleBldgTaxAbatementExpYear | number | Abatement Expiration Year | Modal
saleBldgTaxAbatementComments | text | Abatement Comments | Modal
saleBldgDescription | textarea | Building Description | Modal
saleBldgWebsite | url | Building Website | Modal
saleBldgPetsCatsOK | checkbox | [Unknown] | Modal
saleBldgPetsDogsOK | checkbox | [Unknown] | Modal
