SALE LISTING FORM - COMPLETE FIELD INVENTORY
============================================
Extracted from: C:\Users\MayaAllan\Desktop\1\Old\MALLAN-NYC-CRM-FINAL2.html
Total Fields: 223
Date: 2026-02-08

FORMAT: ID_OR_NAME | TYPE | LABEL | TAB
TAB 5 - PREVIEW
======================================================================================================

[No input fields - preview/display only]

======================================================================================================

TAB 6 - UPDATE HISTORY / MEDIA
======================================================================================================

salePhotoInput | file | Upload Photos | 6
saleVideoUrl | url | Video URL (YouTube/Vimeo) | 6
saleVideoTourUrl | url | Video Tour URL | 6
saleFloorplanInput | file | Upload Floor Plans | 6
saleMatterportUrl | url | Matterport URL | 6
sale3DTourUrl | url | Other 3D Tour URL | 6
saleDocInput | file | Upload Documents | 6

======================================================================================================

BUILDING MODAL (4 sub-tabs: General, Amenities, Access/Policies, Financials)
======================================================================================================

saleBldgAddressSearch | text | Search Address (Google API) | Modal
saleBldgStreetAddress | text | Street Address | Modal
saleBldgName | text | Building Name | Modal
saleBldgCity | text | City | Modal
saleBldgState | select | State | Modal
saleBldgZip | text | ZIP Code | Modal
saleBldgNeighborhood | select | Neighborhood | Modal
saleBldgBorough | select | Borough | Modal
saleBldgCrossStreet1 | text | Cross Street 1 | Modal
saleBldgCrossStreet2 | text | Cross Street 2 | Modal
saleBldgSubwayLines | text | Nearest Subway Lines | Modal
saleBldgSubwayStation | text | Nearest Subway Station | Modal
saleBldgType | select | Building Type | Modal
saleBldgClass | select | Building Class | Modal
saleBldgYearBuilt | number | Year Built | Modal
saleBldgYearRenovated | number | Year Renovated | Modal
saleBldgTotalFloors | number | Total Floors | Modal
saleBldgTotalUnits | number | Total Units | Modal
saleBldgResidentialUnits | number | Residential Units | Modal
saleBldgCommercialUnits | number | Commercial Units | Modal
saleBldgParkingSpaces | number | Total Parking Spaces | Modal
saleBldgLandmark | checkbox | Landmark Building | Modal
saleBldgHistoric | checkbox | Historic Building | Modal
saleBldgLEED | checkbox | LEED Certified | Modal
saleBldgNewConstruction | checkbox | New Construction | Modal
saleBldgConversion | checkbox | Conversion | Modal
saleBldgSponsorUnits | checkbox | Sponsor Units Available | Modal
saleBldgDoorman | checkbox | Doorman | Modal
saleBldgFullTimeDoorman | checkbox | Full-Time Doorman | Modal
saleBldgVirtualDoorman | checkbox | Virtual Doorman | Modal
saleBldgConcierge | checkbox | Concierge | Modal
saleBldgElevator | checkbox | Elevator | Modal
saleBldgLaundry | checkbox | Laundry | Modal
saleBldgGym | checkbox | Gym / Fitness Center | Modal
saleBldgPool | checkbox | Pool | Modal
saleBldgRoofDeck | checkbox | Roof Deck | Modal
saleBldgCourtyard | checkbox | Courtyard | Modal
saleBldgPlayroom | checkbox | Playroom | Modal
saleBldgLounge | checkbox | Lounge | Modal
saleBldgBusinessCenter | checkbox | Business Center | Modal
saleBldgConferenceRoom | checkbox | Conference Room | Modal
saleBldgBikeRoom | checkbox | Bike Room | Modal
saleBldgStorage | checkbox | Storage | Modal
saleBldgParking | checkbox | Parking | Modal
saleBldgValet | checkbox | Valet | Modal
saleBldgPackageRoom | checkbox | Package Room | Modal
saleBldgColdStorage | checkbox | Cold Storage | Modal
saleBldgLiveInSuper | checkbox | Live-In Super | Modal
saleBldgOnSiteManager | checkbox | On-Site Manager | Modal
saleBldgWheelchairAccess | checkbox | Wheelchair Access | Modal
saleBldgSpa | checkbox | Spa | Modal
saleBldgHeatType | select | Heat Type | Modal
saleBldgFuelType | select | Fuel Type | Modal
saleBldgNumElevators | number | Number of Elevators | Modal
saleBldgAssociationName | text | Association/Corp Name | Modal
saleBldgTotalShares | number | Total Shares (Co-op) | Modal
saleBldgUnderlyingMortgage | text | Underlying Mortgage | Modal
saleBldgCapitalReserves | text | Capital Reserves | Modal
saleBldgCapitalReservesYN | checkbox | Has Capital Reserves | Modal
saleBldgTaxBlock | text | Tax Block | Modal
saleBldgTaxLot | text | Tax Lot | Modal
saleBldgAnnualTaxes | text | Annual RE Taxes | Modal
saleBldgTaxAbatementYN | select | Has Tax Abatement | Modal
saleBldgTaxAbatementExpYear | number | Abatement Expiration Year | Modal
saleBldgTaxAbatementComments | text | Abatement Comments | Modal
saleBldgDescription | textarea | Building Description | Modal
saleBldgWebsite | url | Building Website | Modal
saleBldgPetsCatsOK | checkbox | Cats OK | Modal
saleBldgPetsDogsOK | checkbox | Dogs OK | Modal
saleBldgPetsCaseByCase | checkbox | Pets Case-by-Case | Modal
saleBldgPetsNone | checkbox | No Pets | Modal
saleBldgPetWeightLimit | number | Weight Limit (lbs) | Modal
saleBldgPetNotes | text | Pet Policy Notes | Modal
