,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,LivingAreaRangeSource,,LivingAreaRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,LivingAreaRangeUnits,,LivingAreaRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,Location,,Location,IDX Plus field,Custom Property,String,IDX Plus
,LotSizeAreaRangeHigh,,LotSizeAreaRangeHigh,IDX Plus field,Custom Property,Number,IDX Plus
,LotSizeAreaRangeLow,,LotSizeAreaRangeLow,IDX Plus field,Custom Property,Number,IDX Plus
,LotSizeRange,,LotSizeRange,IDX Plus field,Custom Property,String,IDX Plus
,LotSizeRangeSource,,LotSizeRangeSource,IDX Plus field,Custom Property,String List, Single,IDX Plus
,LotSizeRangeUnits,,LotSizeRangeUnits,IDX Plus field,Custom Property,String List, Single,IDX Plus
,MembershipFeeFrequency,,MembershipFeeFrequency,IDX Plus field,Custom Property,String List, Single,IDX Plus
,MonthlyRate,,MonthlyRate,IDX Plus field,Custom Property,String,IDX Plus
,NumberOfBoatDocks,,NumberOfBoatDocks,IDX Plus field,Custom Property,Number,IDX Plus
,NumberOfBoatSlips,,NumberOfBoatSlips,IDX Plus field,Custom Property,Number,IDX Plus
,OffersDescription,,OffersDescription,IDX Plus field,Custom Property,String,IDX Plus
,OffersReviewDate,,OffersReviewDate,IDX Plus field,Custom Property,Date,IDX Plus
,OriginatingSystemKey,,OriginatingSystemKey,IDX Plus field,Custom Property,String,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Custom Property,String,IDX Plus
,OtherExpenseDescription,,OtherExpenseDescription,IDX Plus field,Custom Property,String,IDX Plus
,PotentialShortSale,,PotentialShortSale,IDX Plus field,Custom Property,String List, Single,IDX Plus
,PricePerArea,,PricePerArea,IDX Plus field,Custom Property,Number,IDX Plus
,PricePerAreaUnit,,PricePerAreaUnit,IDX Plus field,Custom Property,String List, Single,IDX Plus
,ProjectName,,ProjectName,IDX Plus field,Custom Property,String,IDX Plus
,PropertyAccess,,PropertyAccess,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,PropertyType,,PropertyType,IDX Plus field,Custom Property,String List, Single,IDX Plus
,PublicRemarks_lang2,,PublicRemarks_lang2,IDX Plus field,Custom Property,String,IDX Plus
,PublicRemarks_lang3,,PublicRemarks_lang3,IDX Plus field,Custom Property,String,IDX Plus
,Restrictions,,Restrictions,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,SaleOrLeaseIncludes,,SaleOrLeaseIncludes,IDX Plus field,Custom Property,String,IDX Plus
,SecurityDepositDescription,,SecurityDepositDescription,IDX Plus field,Custom Property,String,IDX Plus
,SecurityDepositYN,,SecurityDepositYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,StandardStatus,,StandardStatus,IDX Plus field,Custom Property,String List, Single,IDX Plus
,StoriesPartial,,StoriesPartial,IDX Plus field,Custom Property,String,IDX Plus
,StoriesPartialTotal,,StoriesPartialTotal,IDX Plus field,Custom Property,String,IDX Plus
,StormProtection,,StormProtection,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,TaxAssessedValueImprovement,,TaxAssessedValueImprovement,IDX Plus field,Custom Property,String,IDX Plus
,TaxAssessedValueLand,,TaxAssessedValueLand,IDX Plus field,Custom Property,String,IDX Plus
,TaxAuthority,,TaxAuthority,IDX Plus field,Custom Property,String,IDX Plus
,TaxRate,,TaxRate,IDX Plus field,Custom Property,Number,IDX Plus
,ThirdPartyIntegrationType,,ThirdPartyIntegrationType,IDX Plus field,Custom Property,String List, Multi,IDX Plus
,TitleCompanyAddress,,TitleCompanyAddress,IDX Plus field,Custom Property,String,IDX Plus
,TitleCompanyName,,TitleCompanyName,IDX Plus field,Custom Property,String,IDX Plus
,TitleCompanyPhone,,TitleCompanyPhone,IDX Plus field,Custom Property,String,IDX Plus
,TitleCompanyPreferred,,TitleCompanyPreferred,IDX Plus field,Custom Property,String,IDX Plus
,WaterAccessDescription,,WaterAccessDescription,IDX Plus field,Custom Property,String,IDX Plus
,WaterAccessYN,,WaterAccessYN,IDX Plus field,Custom Property,Boolean,IDX Plus
,WeeklyRate,,WeeklyRate,IDX Plus field,Custom Property,String,IDX Plus
,ChangedByMemberID,,ChangedByMemberID,IDX Plus field,Media,String,IDX Plus
