,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,OffMarketDate,,OffMarketDate,IDX Plus field,Open House,Date,IDX Plus
,OpenHouseAttendedBy,,OpenHouseAttendedBy,IDX Plus field,Open House,String List, Single,IDX Plus
,OpenHouseDate,,OpenHouseDate,IDX Plus field,Open House,Date,IDX Plus
,OpenHouseEndTime,,OpenHouseEndTime,IDX Plus field,Open House,Timestamp,IDX Plus
,OpenHouseId,,OpenHouseId,IDX Plus field,Open House,String,IDX Plus
,OpenHouseKeyNumeric,,OpenHouseKeyNumeric,IDX Plus field,Open House,Number,IDX Plus
,OpenHouseStartTime,,OpenHouseStartTime,IDX Plus field,Open House,Timestamp,IDX Plus
,OpenHouseStatus,,OpenHouseStatus,IDX Plus field,Open House,String List, Single,IDX Plus
,OpenHouseType,,OpenHouseType,IDX Plus field,Open House,String List, Single,IDX Plus
,OriginalEntryTimestamp,,OriginalEntryTimestamp,IDX Plus field,Open House,Timestamp,IDX Plus
,OriginatingSystemID,,OriginatingSystemID,IDX Plus field,Open House,String,IDX Plus
,OriginatingSystemKey,,OriginatingSystemKey,IDX Plus field,Open House,String,IDX Plus
,OriginatingSystemListingKey,,OriginatingSystemListingKey,IDX Plus field,Open House,String,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Open House,String,IDX Plus
,PropertySubType,,PropertySubType,IDX Plus field,Open House,String List, Single,IDX Plus
,PropertySubTypeAdditional,,PropertySubTypeAdditional,IDX Plus field,Open House,String List, Multi,IDX Plus
,PropertyType,,PropertyType,IDX Plus field,Open House,String List, Single,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Open House,Number,IDX Plus
,Refreshments,,Refreshments,IDX Plus field,Open House,String,IDX Plus
,ShowingAgentFirstName,,ShowingAgentFirstName,IDX Plus field,Open House,String,IDX Plus
,ShowingAgentKey,,ShowingAgentKey,IDX Plus field,Open House,String,IDX Plus
,ShowingAgentKeyNumeric,,ShowingAgentKeyNumeric,IDX Plus field,Open House,Number,IDX Plus
,ShowingAgentLastName,,ShowingAgentLastName,IDX Plus field,Open House,String,IDX Plus
,ShowingAgentMlsID,,ShowingAgentMlsID,IDX Plus field,Open House,String,IDX Plus
,SourceSystemID,,SourceSystemID,IDX Plus field,Open House,String,IDX Plus
,SourceSystemName,,SourceSystemName,IDX Plus field,Open House,String,IDX Plus
,StandardStatus,,StandardStatus,IDX Plus field,Open House,String List, Single,IDX Plus
,SyndicateTo,,SyndicateTo,IDX Plus field,Open House,String List, Multi,IDX Plus
,AboveGradeFinishedArea,,AboveGradeFinishedArea,IDX Plus field,Property,Number,IDX Plus
,AboveGradeFinishedAreaSource,,AboveGradeFinishedAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,AboveGradeFinishedAreaUnits,,AboveGradeFinishedAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,AboveGradeUnfinishedArea,,AboveGradeUnfinishedArea,IDX Plus field,Property,Number,IDX Plus
,AboveGradeUnfinishedAreaSource,,AboveGradeUnfinishedAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,AboveGradeUnfinishedAreaUnits,,AboveGradeUnfinishedAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,AccessibilityFeatures,,AccessibilityFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,ActivationDate,,ActivationDate,IDX Plus field,Property,Date,IDX Plus
,AdditionalParcelsDescription,,AdditionalParcelsDescription,IDX Plus field,Property,String,IDX Plus
,AdditionalParcelsYN,,AdditionalParcelsYN,IDX Plus field,Property,Boolean,IDX Plus
,AnchorsCoTenants,,AnchorsCoTenants,IDX Plus field,Property,String,IDX Plus
,Appliances,,Appliances,IDX Plus field,Property,String List, Multi,IDX Plus
,ArchitecturalStyle,,ArchitecturalStyle,IDX Plus field,Property,String List, Multi,IDX Plus
,AssociationAmenities,,AssociationAmenities,IDX Plus field,Property,String List, Multi,IDX Plus
,AssociationFee,,AssociationFee,IDX Plus field,Property,Number,IDX Plus
,AssociationFee2,,AssociationFee2,IDX Plus field,Property,Number,IDX Plus
,AssociationFee2Frequency,,AssociationFee2Frequency,IDX Plus field,Property,String List, Single,IDX Plus
,AssociationFee3,,AssociationFee3,IDX Plus field,Property,Number,IDX Plus
,AssociationFee3Frequency,,AssociationFee3Frequency,IDX Plus field,Property,String List, Single,IDX Plus
,AssociationFeeFrequency,,AssociationFeeFrequency,IDX Plus field,Property,String List, Single,IDX Plus
,AssociationFeeIncludes,,AssociationFeeIncludes,IDX Plus field,Property,String List, Multi,IDX Plus
,AssociationName,,AssociationName,IDX Plus field,Property,String,IDX Plus
,AssociationName2,,AssociationName2,IDX Plus field,Property,String,IDX Plus
,AssociationName3,,AssociationName3,IDX Plus field,Property,String,IDX Plus
,AssociationPhone,,AssociationPhone,IDX Plus field,Property,String,IDX Plus
,AssociationPhone2,,AssociationPhone2,IDX Plus field,Property,String,IDX Plus
,AssociationPhone3,,AssociationPhone3,IDX Plus field,Property,String,IDX Plus
,AssociationYN,,AssociationYN,IDX Plus field,Property,Boolean,IDX Plus
,AttachedGarageYN,,AttachedGarageYN,IDX Plus field,Property,Boolean,IDX Plus
,AttributionContact,,AttributionContact,IDX Plus field,Property,String,IDX Plus
,AvailabilityDate,,AvailabilityDate,IDX Plus field,Property,Date,IDX Plus
,AvailableLeaseType,,AvailableLeaseType,IDX Plus field,Property,String List, Multi,IDX Plus
,BackOnMarketDate,,BackOnMarketDate,IDX Plus field,Property,Date,IDX Plus
,BackOnMarketTimestamp,,BackOnMarketTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,Basement,,Basement,IDX Plus field,Property,String List, Multi,IDX Plus
,BasementYN,,BasementYN,IDX Plus field,Property,Boolean,IDX Plus
,BathroomsFull,,BathroomsFull,IDX Plus field,Property,Number,IDX Plus
,BathroomsHalf,,BathroomsHalf,IDX Plus field,Property,Number,IDX Plus
,BathroomsOneQuarter,,BathroomsOneQuarter,IDX Plus field,Property,Number,IDX Plus
,BathroomsPartial,,BathroomsPartial,IDX Plus field,Property,Number,IDX Plus
,BathroomsThreeQuarter,,BathroomsThreeQuarter,IDX Plus field,Property,Number,IDX Plus
,BathroomsTotalInteger,,BathroomsTotalInteger,IDX Plus field,Property,Number,IDX Plus
,BedroomsPossible,,BedroomsPossible,IDX Plus field,Property,Number,IDX Plus
,BedroomsTotal,,BedroomsTotal,IDX Plus field,Property,Number,IDX Plus
,BelowGradeFinishedArea,,BelowGradeFinishedArea,IDX Plus field,Property,Number,IDX Plus
,BelowGradeFinishedAreaSource,,BelowGradeFinishedAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,BelowGradeFinishedAreaUnits,,BelowGradeFinishedAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,BelowGradeUnfinishedArea,,BelowGradeUnfinishedArea,IDX Plus field,Property,Number,IDX Plus
,BelowGradeUnfinishedAreaSource,,BelowGradeUnfinishedAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,BelowGradeUnfinishedAreaUnits,,BelowGradeUnfinishedAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,BodyType,,BodyType,IDX Plus field,Property,String List, Multi,IDX Plus
,BuilderModel,,BuilderModel,IDX Plus field,Property,String,IDX Plus
,BuilderName,,BuilderName,IDX Plus field,Property,String,IDX Plus
,BuildingAreaSource,,BuildingAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,BuildingAreaTotal,,BuildingAreaTotal,IDX Plus field,Property,Number,IDX Plus
,BuildingAreaUnits,,BuildingAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,BuildingFeatures,,BuildingFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,BuildingName,,BuildingName,IDX Plus field,Property,String,IDX Plus
,BusinessName,,BusinessName,IDX Plus field,Property,String,IDX Plus
,BusinessType,,BusinessType,IDX Plus field,Property,String List, Multi,IDX Plus
,BuyerAgentKey,,BuyerAgentKey,IDX Plus field,Property,String,IDX Plus
,BuyerAgentMlsId,,BuyerAgentMlsId,IDX Plus field,Property,String,IDX Plus
,BuyerFinancing,,BuyerFinancing,IDX Plus field,Property,String List, Multi,IDX Plus
,BuyerOfficeKey,,BuyerOfficeKey,IDX Plus field,Property,String,IDX Plus
,BuyerOfficeMlsId,,BuyerOfficeMlsId,IDX Plus field,Property,String,IDX Plus
,BuyerTeamKey,,BuyerTeamKey,IDX Plus field,Property,String,IDX Plus
,CableTvExpense,,CableTvExpense,IDX Plus field,Property,Number,IDX Plus
,CapRate,,CapRate,IDX Plus field,Property,Number,IDX Plus
,CarportSpaces,,CarportSpaces,IDX Plus field,Property,Number,IDX Plus
,CarportYN,,CarportYN,IDX Plus field,Property,Boolean,IDX Plus
,CarrierRoute,,CarrierRoute,IDX Plus field,Property,String,IDX Plus
,City,,City,IDX Plus field,Property,String,IDX Plus
,CityRegion,,CityRegion,IDX Plus field,Property,String,IDX Plus
,CLIP,,CLIP,IDX Plus field,Property,Number,IDX Plus
,CloseDate,,CloseDate,IDX Plus field,Property,Date,IDX Plus
,ClosePrice,,ClosePrice,IDX Plus field,Property,Number,IDX Plus
,CoBuyerAgentKey,,CoBuyerAgentKey,IDX Plus field,Property,String,IDX Plus
,CoBuyerAgentMlsId,,CoBuyerAgentMlsId,IDX Plus field,Property,String,IDX Plus
,CoBuyerOfficeKey,,CoBuyerOfficeKey,IDX Plus field,Property,String,IDX Plus
,CoBuyerOfficeMlsId,,CoBuyerOfficeMlsId,IDX Plus field,Property,String,IDX Plus
,CoListAgent2AOR,,CoListAgent2AOR,IDX Plus field,Property,String List, Single,IDX Plus
,CoListAgent2DirectPhone,,CoListAgent2DirectPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent2Email,,CoListAgent2Email,IDX Plus field,Property,String,IDX Plus
,CoListAgent2FirstName,,CoListAgent2FirstName,IDX Plus field,Property,String,IDX Plus
,CoListAgent2FullName,,CoListAgent2FullName,IDX Plus field,Property,String,IDX Plus
,CoListAgent2HomePhone,,CoListAgent2HomePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent2Key,,CoListAgent2Key,IDX Plus field,Property,String,IDX Plus
,CoListAgent2LastName,,CoListAgent2LastName,IDX Plus field,Property,String,IDX Plus
,CoListAgent2MiddleName,,CoListAgent2MiddleName,IDX Plus field,Property,String,IDX Plus
,CoListAgent2MlsId,,CoListAgent2MlsId,IDX Plus field,Property,String,IDX Plus
,CoListAgent2MobilePhone,,CoListAgent2MobilePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent2NationalAssociationId,,CoListAgent2NationalAssociationId,IDX Plus field,Property,String,IDX Plus
,CoListAgent2Nickname,,CoListAgent2Nickname,IDX Plus field,Property,String,IDX Plus
,CoListAgent2OfficePhone,,CoListAgent2OfficePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent2PreferredPhone,,CoListAgent2PreferredPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent2StateLicense,,CoListAgent2StateLicense,IDX Plus field,Property,String,IDX Plus
,CoListAgent2URL,,CoListAgent2URL,IDX Plus field,Property,String,IDX Plus
,CoListAgent3AOR,,CoListAgent3AOR,IDX Plus field,Property,String List, Single,IDX Plus
,CoListAgent3DirectPhone,,CoListAgent3DirectPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent3Email,,CoListAgent3Email,IDX Plus field,Property,String,IDX Plus
,CoListAgent3FirstName,,CoListAgent3FirstName,IDX Plus field,Property,String,IDX Plus
,CoListAgent3FullName,,CoListAgent3FullName,IDX Plus field,Property,String,IDX Plus
,CoListAgent3HomePhone,,CoListAgent3HomePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent3Key,,CoListAgent3Key,IDX Plus field,Property,String,IDX Plus
,CoListAgent3LastName,,CoListAgent3LastName,IDX Plus field,Property,String,IDX Plus
,CoListAgent3MiddleName,,CoListAgent3MiddleName,IDX Plus field,Property,String,IDX Plus
,CoListAgent3MlsId,,CoListAgent3MlsId,IDX Plus field,Property,String,IDX Plus
,CoListAgent3MobilePhone,,CoListAgent3MobilePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent3NationalAssociationId,,CoListAgent3NationalAssociationId,IDX Plus field,Property,String,IDX Plus
,CoListAgent3Nickname,,CoListAgent3Nickname,IDX Plus field,Property,String,IDX Plus
,CoListAgent3OfficePhone,,CoListAgent3OfficePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent3PreferredPhone,,CoListAgent3PreferredPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgent3StateLicense,,CoListAgent3StateLicense,IDX Plus field,Property,String,IDX Plus
,CoListAgent3URL,,CoListAgent3URL,IDX Plus field,Property,String,IDX Plus
,CoListAgentAOR,,CoListAgentAOR,IDX Plus field,Property,String List, Single,IDX Plus
,CoListAgentDesignation,,CoListAgentDesignation,IDX Plus field,Property,String List, Multi,IDX Plus
,CoListAgentDirectPhone,,CoListAgentDirectPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgentEmail,,CoListAgentEmail,IDX Plus field,Property,String,IDX Plus
,CoListAgentFax,,CoListAgentFax,IDX Plus field,Property,String,IDX Plus
,CoListAgentFirstName,,CoListAgentFirstName,IDX Plus field,Property,String,IDX Plus
,CoListAgentFullName,,CoListAgentFullName,IDX Plus field,Property,String,IDX Plus
,CoListAgentKey,,CoListAgentKey,IDX Plus field,Property,String,IDX Plus
,CoListAgentKeyNumeric,,CoListAgentKeyNumeric,IDX Plus field,Property,Number,IDX Plus
,CoListAgentLastName,,CoListAgentLastName,IDX Plus field,Property,String,IDX Plus
,CoListAgentMiddleName,,CoListAgentMiddleName,IDX Plus field,Property,String,IDX Plus
,CoListAgentMlsId,,CoListAgentMlsId,IDX Plus field,Property,String,IDX Plus
,CoListAgentNamePrefix,,CoListAgentNamePrefix,IDX Plus field,Property,String,IDX Plus
,CoListAgentNameSuffix,,CoListAgentNameSuffix,IDX Plus field,Property,String,IDX Plus
,CoListAgentNationalAssociationId,,CoListAgentNationalAssociationId,IDX Plus field,Property,String,IDX Plus
,CoListAgentNickname,,CoListAgentNickname,IDX Plus field,Property,String,IDX Plus
,CoListAgentOfficePhone,,CoListAgentOfficePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgentOfficePhoneExt,,CoListAgentOfficePhoneExt,IDX Plus field,Property,String,IDX Plus
,CoListAgentPager,,CoListAgentPager,IDX Plus field,Property,String,IDX Plus
,CoListAgentPreferredPhone,,CoListAgentPreferredPhone,IDX Plus field,Property,String,IDX Plus
,CoListAgentPreferredPhoneExt,,CoListAgentPreferredPhoneExt,IDX Plus field,Property,String,IDX Plus
,CoListAgentTollFreePhone,,CoListAgentTollFreePhone,IDX Plus field,Property,String,IDX Plus
,CoListAgentVoiceMail,,CoListAgentVoiceMail,IDX Plus field,Property,String,IDX Plus
,CoListAgentVoiceMailExt,,CoListAgentVoiceMailExt,IDX Plus field,Property,String,IDX Plus
,CoListOffice2AOR,,CoListOffice2AOR,IDX Plus field,Property,String List, Single,IDX Plus
,CoListOffice2Email,,CoListOffice2Email,IDX Plus field,Property,String,IDX Plus
,CoListOffice2Key,,CoListOffice2Key,IDX Plus field,Property,String,IDX Plus
,CoListOffice2MlsId,,CoListOffice2MlsId,IDX Plus field,Property,String,IDX Plus
,CoListOffice2Name,,CoListOffice2Name,IDX Plus field,Property,String,IDX Plus
,CoListOffice2Phone,,CoListOffice2Phone,IDX Plus field,Property,String,IDX Plus
,CoListOffice2URL,,CoListOffice2URL,IDX Plus field,Property,String,IDX Plus
,CoListOfficeAOR,,CoListOfficeAOR,IDX Plus field,Property,String List, Single,IDX Plus
,CoListOfficeEmail,,CoListOfficeEmail,IDX Plus field,Property,String,IDX Plus
,CoListOfficeFax,,CoListOfficeFax,IDX Plus field,Property,String,IDX Plus
,CoListOfficeKey,,CoListOfficeKey,IDX Plus field,Property,String,IDX Plus
,CoListOfficeKeyNumeric,,CoListOfficeKeyNumeric,IDX Plus field,Property,Number,IDX Plus
,CoListOfficeMlsId,,CoListOfficeMlsId,IDX Plus field,Property,String,IDX Plus
,CoListOfficeName,,CoListOfficeName,IDX Plus field,Property,String,IDX Plus
,CoListOfficePhone,,CoListOfficePhone,IDX Plus field,Property,String,IDX Plus
,CoListOfficePhoneExt,,CoListOfficePhoneExt,IDX Plus field,Property,String,IDX Plus
,CoListOfficeURL,,CoListOfficeURL,IDX Plus field,Property,String,IDX Plus
,CommonInterest,,CommonInterest,IDX Plus field,Property,String List, Single,IDX Plus
,CommonWalls,,CommonWalls,IDX Plus field,Property,String List, Multi,IDX Plus
,CommunityFeatures,,CommunityFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,CompSaleYN,,CompSaleYN,IDX Plus field,Property,Boolean,IDX Plus
,ConstructionMaterials,,ConstructionMaterials,IDX Plus field,Property,String List, Multi,IDX Plus
,ContinentRegion,,ContinentRegion,IDX Plus field,Property,String,IDX Plus
,Contingency,,Contingency,IDX Plus field,Property,String,IDX Plus
,ContingentDate,,ContingentDate,IDX Plus field,Property,Date,IDX Plus
,ContractStatusChangeDate,,ContractStatusChangeDate,IDX Plus field,Property,Date,IDX Plus
,Cooling,,Cooling,IDX Plus field,Property,String List, Multi,IDX Plus
,CoolingYN,,CoolingYN,IDX Plus field,Property,Boolean,IDX Plus
,CountrySubdivision,,CountrySubdivision,IDX Plus field,Property,String,IDX Plus
,CountyOrParish,,CountyOrParish,IDX Plus field,Property,String,IDX Plus
,CoveredSpaces,,CoveredSpaces,IDX Plus field,Property,Number,IDX Plus
,CrossStreet,,CrossStreet,IDX Plus field,Property,String,IDX Plus
,CurrentFinancing,,CurrentFinancing,IDX Plus field,Property,String List, Multi,IDX Plus
,CurrentPrice,,CurrentPrice,IDX Plus field,Property,Number,IDX Plus
,CurrentUse,,CurrentUse,IDX Plus field,Property,String List, Multi,IDX Plus
,DelayedMarketingDate,,DelayedMarketingDate,IDX Plus field,Property,Date,IDX Plus
,DelayedMarketingYN,,DelayedMarketingYN,IDX Plus field,Property,Boolean,IDX Plus
,DevelopmentStatus,,DevelopmentStatus,IDX Plus field,Property,String List, Multi,IDX Plus
,DirectionFaces,,DirectionFaces,IDX Plus field,Property,String List, Single,IDX Plus
,Directions,,Directions,IDX Plus field,Property,String,IDX Plus
,Disclaimer,,Disclaimer,IDX Plus field,Property,String,IDX Plus
,DocumentsAvailable,,DocumentsAvailable,IDX Plus field,Property,String List, Multi,IDX Plus
,DocumentsChangeTimestamp,,DocumentsChangeTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,DocumentsCount,,DocumentsCount,IDX Plus field,Property,Number,IDX Plus
,DOH1,,DOH1,IDX Plus field,Property,String,IDX Plus
,DOH2,,DOH2,IDX Plus field,Property,String,IDX Plus
,DOH3,,DOH3,IDX Plus field,Property,String,IDX Plus
,DoorFeatures,,DoorFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,Electric,,Electric,IDX Plus field,Property,String List, Multi,IDX Plus
,ElectricExpense,,ElectricExpense,IDX Plus field,Property,Number,IDX Plus
,ElectricOnPropertyYN,,ElectricOnPropertyYN,IDX Plus field,Property,Boolean,IDX Plus
,ElementarySchool,,ElementarySchool,IDX Plus field,Property,String,IDX Plus
,ElementarySchoolDistrict,,ElementarySchoolDistrict,IDX Plus field,Property,String,IDX Plus
,Elevation,,Elevation,IDX Plus field,Property,Number,IDX Plus
,ElevationUnits,,ElevationUnits,IDX Plus field,Property,String List, Single,IDX Plus
,EntryLevel,,EntryLevel,IDX Plus field,Property,Number,IDX Plus
,EntryLocation,,EntryLocation,IDX Plus field,Property,String,IDX Plus
,EstimatedCloseDate,,EstimatedCloseDate,IDX Plus field,Property,Date,IDX Plus
,Exclusions,,Exclusions,IDX Plus field,Property,String,IDX Plus
,ExistingLeaseType,,ExistingLeaseType,IDX Plus field,Property,String List, Multi,IDX Plus
,Exposures,,Exposures,IDX Plus field,Property,String List, Multi,IDX Plus
,ExteriorFeatures,,ExteriorFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,Fencing,,Fencing,IDX Plus field,Property,String List, Multi,IDX Plus
,FhaEligibility,,FhaEligibility,IDX Plus field,Property,String List, Single,IDX Plus
,FinancialDataSource,,FinancialDataSource,IDX Plus field,Property,String List, Multi,IDX Plus
,FireplaceFeatures,,FireplaceFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,FireplacesTotal,,FireplacesTotal,IDX Plus field,Property,Number,IDX Plus
,FireplaceYN,,FireplaceYN,IDX Plus field,Property,Boolean,IDX Plus
,Flooring,,Flooring,IDX Plus field,Property,String List, Multi,IDX Plus
,FoundationArea,,FoundationArea,IDX Plus field,Property,Number,IDX Plus
,FoundationDetails,,FoundationDetails,IDX Plus field,Property,String List, Multi,IDX Plus
,FrontageLength,,FrontageLength,IDX Plus field,Property,String,IDX Plus
,FrontageLengthRemarks,,FrontageLengthRemarks,IDX Plus field,Property,String,IDX Plus
,FrontageLengthUnit,,FrontageLengthUnit,IDX Plus field,Property,String List, Single,IDX Plus
,FrontageType,,FrontageType,IDX Plus field,Property,String List, Multi,IDX Plus
,FuelExpense,,FuelExpense,IDX Plus field,Property,Number,IDX Plus
,Furnished,,Furnished,IDX Plus field,Property,String List, Single,IDX Plus
,FurnitureReplacementExpense,,FurnitureReplacementExpense,IDX Plus field,Property,Number,IDX Plus
,GarageSpaces,,GarageSpaces,IDX Plus field,Property,Number,IDX Plus
,GarageYN,,GarageYN,IDX Plus field,Property,Boolean,IDX Plus
,GardenerExpense,,GardenerExpense,IDX Plus field,Property,Number,IDX Plus
,GreenBuildingVerificationType,,GreenBuildingVerificationType,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenEnergyEfficient,,GreenEnergyEfficient,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenEnergyGeneration,,GreenEnergyGeneration,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenIndoorAirQuality,,GreenIndoorAirQuality,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenLocation,,GreenLocation,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenSustainability,,GreenSustainability,IDX Plus field,Property,String List, Multi,IDX Plus
,GreenVerificationYN,,GreenVerificationYN,IDX Plus field,Property,Boolean,IDX Plus
,GreenWaterConservation,,GreenWaterConservation,IDX Plus field,Property,String List, Multi,IDX Plus
,GrossIncome,,GrossIncome,IDX Plus field,Property,Number,IDX Plus
,GrossScheduledIncome,,GrossScheduledIncome,IDX Plus field,Property,Number,IDX Plus
,HabitableResidenceYN,,HabitableResidenceYN,IDX Plus field,Property,Boolean,IDX Plus
,Heating,,Heating,IDX Plus field,Property,String List, Multi,IDX Plus
,HeatingYN,,HeatingYN,IDX Plus field,Property,Boolean,IDX Plus
,HighSchool,,HighSchool,IDX Plus field,Property,String,IDX Plus
,HighSchoolDistrict,,HighSchoolDistrict,IDX Plus field,Property,String,IDX Plus
,HomeWarrantyYN,,HomeWarrantyYN,IDX Plus field,Property,Boolean,IDX Plus
,HoursDaysOfOperation,,HoursDaysOfOperation,IDX Plus field,Property,String List, Multi,IDX Plus
,HoursDaysOfOperationDescription,,HoursDaysOfOperationDescription,IDX Plus field,Property,String,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Property,Boolean,IDX Plus
,Inclusions,,Inclusions,IDX Plus field,Property,String,IDX Plus
,IncomeIncludes,,IncomeIncludes,IDX Plus field,Property,String List, Multi,IDX Plus
,InsuranceExpense,,InsuranceExpense,IDX Plus field,Property,Number,IDX Plus
,InteriorFeatures,,InteriorFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,InternetAutomatedValuationDisplayYN,,InternetAutomatedValuationDisplayYN,IDX Plus field,Property,Boolean,IDX Plus
,InternetConsumerCommentYN,,InternetConsumerCommentYN,IDX Plus field,Property,Boolean,IDX Plus
,LaborInformation,,LaborInformation,IDX Plus field,Property,String List, Multi,IDX Plus
,LandLeaseAmount,,LandLeaseAmount,IDX Plus field,Property,Number,IDX Plus
,LandLeaseAmountFrequency,,LandLeaseAmountFrequency,IDX Plus field,Property,String List, Single,IDX Plus
,LandLeaseExpirationDate,,LandLeaseExpirationDate,IDX Plus field,Property,Date,IDX Plus
,LandLeaseYN,,LandLeaseYN,IDX Plus field,Property,Boolean,IDX Plus
,LaundryFeatures,,LaundryFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,LeasableArea,,LeasableArea,IDX Plus field,Property,Number,IDX Plus
,LeasableAreaUnits,,LeasableAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,LeaseAmount,,LeaseAmount,IDX Plus field,Property,Number,IDX Plus
,LeaseAmountFrequency,,LeaseAmountFrequency,IDX Plus field,Property,String List, Single,IDX Plus
,LeaseAssignableYN,,LeaseAssignableYN,IDX Plus field,Property,Boolean,IDX Plus
,LeaseConsideredYN,,LeaseConsideredYN,IDX Plus field,Property,Boolean,IDX Plus
,LeaseRenewalOptionYN,,LeaseRenewalOptionYN,IDX Plus field,Property,Boolean,IDX Plus
,LeaseTerm,,LeaseTerm,IDX Plus field,Property,String List, Single,IDX Plus
,LeaseTermOptions,,LeaseTermOptions,IDX Plus field,Property,String List, Multi,IDX Plus
,Levels,,Levels,IDX Plus field,Property,String List, Multi,IDX Plus
,License1,,License1,IDX Plus field,Property,String,IDX Plus
,License2,,License2,IDX Plus field,Property,String,IDX Plus
,License3,,License3,IDX Plus field,Property,String,IDX Plus
,LicensesExpense,,LicensesExpense,IDX Plus field,Property,Number,IDX Plus
,ListAgentAOR,,ListAgentAOR,IDX Plus field,Property,String List, Single,IDX Plus
,ListAgentDesignation,,ListAgentDesignation,IDX Plus field,Property,String List, Multi,IDX Plus
,ListAgentDirectPhone,,ListAgentDirectPhone,IDX Plus field,Property,String,IDX Plus
,ListAgentEmail,,ListAgentEmail,IDX Plus field,Property,String,IDX Plus
,ListAgentFax,,ListAgentFax,IDX Plus field,Property,String,IDX Plus
,ListAgentFirstName,,ListAgentFirstName,IDX Plus field,Property,String,IDX Plus
,ListAgentFullName,,ListAgentFullName,IDX Plus field,Property,String,IDX Plus
,ListAgentKey,,ListAgentKey,IDX Plus field,Property,String,IDX Plus
,ListAgentKeyNumeric,,ListAgentKeyNumeric,IDX Plus field,Property,Number,IDX Plus
,ListAgentLastName,,ListAgentLastName,IDX Plus field,Property,String,IDX Plus
,ListAgentMiddleName,,ListAgentMiddleName,IDX Plus field,Property,String,IDX Plus
,ListAgentMlsId,,ListAgentMlsId,IDX Plus field,Property,String,IDX Plus
,ListAgentNamePrefix,,ListAgentNamePrefix,IDX Plus field,Property,String,IDX Plus
,ListAgentNameSuffix,,ListAgentNameSuffix,IDX Plus field,Property,String,IDX Plus
,ListAgentNationalAssociationId,,ListAgentNationalAssociationId,IDX Plus field,Property,String,IDX Plus
,ListAgentNickname,,ListAgentNickname,IDX Plus field,Property,String,IDX Plus
,ListAgentOfficePhone,,ListAgentOfficePhone,IDX Plus field,Property,String,IDX Plus
,ListAgentOfficePhoneExt,,ListAgentOfficePhoneExt,IDX Plus field,Property,String,IDX Plus
,ListAgentPager,,ListAgentPager,IDX Plus field,Property,String,IDX Plus
,ListAgentPreferredPhone,,ListAgentPreferredPhone,IDX Plus field,Property,String,IDX Plus
,ListAgentPreferredPhoneExt,,ListAgentPreferredPhoneExt,IDX Plus field,Property,String,IDX Plus
,ListAgentTollFreePhone,,ListAgentTollFreePhone,IDX Plus field,Property,String,IDX Plus
,ListAgentURL,,ListAgentURL,IDX Plus field,Property,String,IDX Plus
,ListAgentVoiceMail,,ListAgentVoiceMail,IDX Plus field,Property,String,IDX Plus
,ListAgentVoiceMailExt,,ListAgentVoiceMailExt,IDX Plus field,Property,String,IDX Plus
